,taxdoug_2016,view_transgender_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,affirmact_gen_2016,immi_contribution_2016,police_threat_2016,pid3_2016,gvmt_involment_2016,wealth_2016,policies_favor_2016,obamaapp_2016,healthreformbill_2016,presvote16post_2016
6851,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men and women have equal opportunities,Don't know,Mostly a drain,Isolated incidents,Not sure,We need a strong government to handle today's complex economic problems,Don't know,Don't know,Somewhat Disapprove,Expanded,Donald Trump
6852,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6853,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Women have more opportunities than men,Don't know,Mostly a drain,Isolated incidents,Republican,We need a strong government to handle today's complex economic problems,Don't know,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6854,Don't know,Don't know,Disagree,Don't know,Don't know,Neither,Don't know,Independent,Don't know,Should be more evenly distributed,Don't know,Somewhat Approve,Don't know,Donald Trump
6855,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Don't know,Favor,Don't know,Isolated incidents,Democrat,Don't know,Don't know,Treat both groups the same,Somewhat Approve,Kept the same,Donald Trump
6856,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Kept the same,Hillary Clinton
6857,Yes,Don't know,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Part of a broader pattern,Independent,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Repealed,Other
6858,Don't know,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Oppose,Neither,Isolated incidents,Independent,Don't know,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6859,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6860,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Oppose,Mostly make a contribution,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
6861,No,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Men have more opportunities than women,Don't know,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6862,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men and women have equal opportunities,Favor,Mostly make a contribution,Isolated incidents,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6863,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Neither,Isolated incidents,Independent,We need a strong government to handle today's complex economic problems,Distribution is fair,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
6864,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6865,Yes,Don't know,Agree,Don't know,Don't know,Don't know,Don't know,Democrat,Don't know,Should be more evenly distributed,Don't know,Somewhat Approve,Don't know,Hillary Clinton
6866,No,Don't know,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Republican,Don't know,Distribution is fair,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
6867,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6868,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Don't know,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6869,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly a drain,Don't know,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Kept the same,Hillary Clinton
6870,No,Don't know,Strongly agree,Men and women have equal opportunities,Don't know,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Don't know,Somewhat Disapprove,Repealed,Donald Trump
6871,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Don't know,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,,Strongly Approve,Expanded,Hillary Clinton
6872,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Favor,Neither,Isolated incidents,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
6873,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Men have more opportunities than women,Don't know,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6874,Yes,Should be required to use the restrooms of the gender they were born into,Strongly disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6875,Don't know,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men and women have equal opportunities,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6876,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6877,No,Should be required to use the restrooms of the gender they were born into,,Men have more opportunities than women,Favor,Mostly a drain,Part of a broader pattern,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6878,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men and women have equal opportunities,Don't know,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor whites over blacks,Strongly Disapprove,Expanded,Donald Trump
6879,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6880,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6881,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,Don't know,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6882,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,Don't know,Don't know,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6883,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,We need a strong government to handle today's complex economic problems,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6884,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6885,No,Don't know,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Part of a broader pattern,Republican,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
6886,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Don't know,Mostly make a contribution,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Favor whites over blacks,Somewhat Disapprove,Repealed,Donald Trump
6887,Don't know,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Treat both groups the same,Somewhat Approve,Repealed,Gary Johnson
6888,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Don't know,Don't know,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Don't know,Strongly Disapprove,Repealed,Donald Trump
6889,Don't know,Don't know,Disagree,Don't know,Don't know,Mostly make a contribution,Don't know,Independent,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Don't know,Strongly Disapprove,Repealed,Gary Johnson
6890,No,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men and women have equal opportunities,Oppose,Neither,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6891,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
6892,No,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Oppose,Mostly make a contribution,Isolated incidents,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6893,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Neither,Part of a broader pattern,Not sure,We need a strong government to handle today's complex economic problems,Don't know,Favor whites over blacks,Somewhat Disapprove,Expanded,Donald Trump
6894,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Don't know,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Kept the same,Hillary Clinton
6895,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,Don't know,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,
6896,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Mostly make a contribution,Isolated incidents,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
