Unnamed: 0,healthreformbill_2016,wealth_2016,gvmt_involment_2016,police_threat_2016,obamaapp_2016,view_transgender_2016,affirmact_gen_2016,policies_favor_2016,taxdoug_2016,immi_contribution_2016,pid3_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,presvote16post_2016
324,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Don't know,Favor,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
325,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
326,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Part of a broader pattern,Strongly Disapprove,Don't know,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Independent,Strongly agree,Women have more opportunities than men,Donald Trump
327,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Favor,Favor blacks over whites,No,Mostly make a contribution,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
328,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Other,Agree,Men and women have equal opportunities,Donald Trump
329,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Favor blacks over whites,No,Mostly make a contribution,Other,Strongly agree,Men and women have equal opportunities,Gary Johnson
330,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Part of a broader pattern,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Treat both groups the same,Yes,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
331,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Treat both groups the same,No,Mostly a drain,Republican,Agree,Men and women have equal opportunities,Donald Trump
332,Don't know,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,No,Neither,Independent,Agree,Men have more opportunities than women,Jill Stein
333,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Favor blacks over whites,Yes,Mostly make a contribution,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
334,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Agree,Men and women have equal opportunities,Donald Trump
335,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor whites over blacks,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
336,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Republican,Strongly agree,Women have more opportunities than men,Donald Trump
337,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Don't know,Don't know,Mostly a drain,Republican,Agree,Men have more opportunities than women,Donald Trump
338,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
339,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Favor whites over blacks,Yes,Mostly make a contribution,Democrat,Strongly disagree,Women have more opportunities than men,Hillary Clinton
340,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Strongly agree,Men have more opportunities than women,Hillary Clinton
341,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Neither,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
342,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
343,Repealed,Should be more evenly distributed,Don't know,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Democrat,Agree,Women have more opportunities than men,Donald Trump
344,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly agree,Men have more opportunities than women,Hillary Clinton
345,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
346,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Favor blacks over whites,Don't know,Mostly a drain,Independent,Agree,Men and women have equal opportunities,Donald Trump
347,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
348,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Don't know,Oppose,Favor blacks over whites,No,Mostly a drain,Other,Agree,Men and women have equal opportunities,Donald Trump
349,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
350,Expanded,Don't know,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Approve,Should be required to use the restrooms of the gender they were born into,Don't know,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
351,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Agree,Men and women have equal opportunities,Other
352,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be required to use the restrooms of the gender they were born into,Oppose,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
353,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
354,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
356,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Neither,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
357,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
358,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Don't know,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
359,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Neither,Republican,Agree,Men and women have equal opportunities,Other
360,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Favor,Favor blacks over whites,Yes,Mostly a drain,Independent,Strongly agree,Men have more opportunities than women,Donald Trump
361,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Treat both groups the same,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
362,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
363,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
364,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Treat both groups the same,No,Mostly a drain,Independent,Agree,Men and women have equal opportunities,Donald Trump
365,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Somewhat Disapprove,Don't know,Oppose,Favor blacks over whites,Yes,Mostly make a contribution,Independent,Strongly agree,Men and women have equal opportunities,Other
366,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Don't know,Hillary Clinton
367,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Men and women have equal opportunities,Hillary Clinton
368,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Women have more opportunities than men,Donald Trump
369,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
370,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Don't know,Yes,Mostly a drain,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
371,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Women have more opportunities than men,Donald Trump
372,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly make a contribution,Republican,Strongly agree,Women have more opportunities than men,Evan McMullin
373,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Treat both groups the same,No,Neither,Independent,Strongly agree,Men and women have equal opportunities,Other
374,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Don't know,No,Mostly a drain,Republican,Agree,Men and women have equal opportunities,Donald Trump
375,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Favor whites over blacks,Yes,Mostly make a contribution,Democrat,Strongly agree,Men have more opportunities than women,Jill Stein
376,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
377,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
378,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
379,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
380,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Don't know,Oppose,Favor blacks over whites,Yes,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
381,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
382,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Women have more opportunities than men,Donald Trump
383,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Treat both groups the same,Yes,Mostly make a contribution,Republican,Strongly agree,Men and women have equal opportunities,Evan McMullin
384,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Don't know,Oppose,Treat both groups the same,No,Mostly make a contribution,Other,Disagree,Don't know,Gary Johnson
385,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
386,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Part of a broader pattern,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
387,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Women have more opportunities than men,Other
389,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
390,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Don't know,Oppose,Favor blacks over whites,No,Neither,Other,Strongly agree,Men and women have equal opportunities,Donald Trump
391,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Don't know,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
393,Expanded,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Neither,Democrat,Strongly disagree,Men and women have equal opportunities,Hillary Clinton
394,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Don't know,No,Mostly a drain,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
395,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly disagree,Men and women have equal opportunities,Hillary Clinton
396,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Don't know,Donald Trump
397,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
398,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Agree,Men have more opportunities than women,Hillary Clinton
399,Don't know,Should be more evenly distributed,Don't know,Don't know,Somewhat Approve,Don't know,Don't know,Treat both groups the same,Don't know,Don't know,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
400,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
401,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Don't know,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
402,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
403,Expanded,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Don't know,Yes,Mostly a drain,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
404,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
405,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Don't know,No,Mostly make a contribution,Independent,Agree,Men and women have equal opportunities,Donald Trump
406,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Agree,Don't know,Donald Trump
407,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Don't know,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
408,Expanded,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
409,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
410,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Somewhat Disapprove,Don't know,Oppose,Treat both groups the same,Don't know,Mostly a drain,Independent,Agree,Men and women have equal opportunities,Donald Trump
411,Kept the same,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
412,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men and women have equal opportunities,Hillary Clinton
413,Repealed,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Favor,Favor whites over blacks,Yes,Mostly make a contribution,Independent,Strongly agree,Women have more opportunities than men,Other
414,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
415,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
416,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
417,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Women have more opportunities than men,Donald Trump
418,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly disagree,Men have more opportunities than women,Hillary Clinton
419,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly agree,Men and women have equal opportunities,Hillary Clinton
420,Expanded,Don't know,We need a strong government to handle today's complex economic problems,Don't know,Somewhat Disapprove,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Don't know,Hillary Clinton
421,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
422,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
423,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly make a contribution,Republican,Agree,Men and women have equal opportunities,Donald Trump
424,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly disagree,Men have more opportunities than women,Hillary Clinton
425,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Don't know,Don't know,Don't know,Yes,Mostly make a contribution,Independent,Agree,Men have more opportunities than women,Hillary Clinton
426,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
427,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
428,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Neither,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
429,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
430,Don't know,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Part of a broader pattern,Somewhat Approve,Don't know,Favor,Treat both groups the same,No,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
431,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Don't know,Oppose,Treat both groups the same,No,Mostly make a contribution,Republican,Disagree,Men and women have equal opportunities,Hillary Clinton
432,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Agree,Men and women have equal opportunities,Donald Trump
433,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
