Unnamed: 0,healthreformbill_2016,wealth_2016,gvmt_involment_2016,police_threat_2016,obamaapp_2016,view_transgender_2016,affirmact_gen_2016,policies_favor_2016,taxdoug_2016,immi_contribution_2016,pid3_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,presvote16post_2016
7628,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Somewhat Approve,Don't know,Don't know,Treat both groups the same,Yes,Neither,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
7629,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Don't know,Oppose,Favor whites over blacks,No,Neither,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
7630,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Part of a broader pattern,Strongly Disapprove,Don't know,Oppose,Don't know,No,Mostly make a contribution,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
7632,Kept the same,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Don't know,Yes,Mostly make a contribution,Independent,Agree,Men have more opportunities than women,Hillary Clinton
7634,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
7635,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Don't know,Yes,Mostly make a contribution,Independent,Disagree,Women have more opportunities than men,Hillary Clinton
7636,Don't know,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Strongly Disapprove,Don't know,Don't know,Don't know,Don't know,Mostly a drain,Not sure,Strongly agree,Men and women have equal opportunities,Donald Trump
7637,Expanded,Don't know,Don't know,Part of a broader pattern,Strongly Approve,Don't know,Don't know,Treat both groups the same,Yes,Don't know,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
7638,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Don't know,No,Mostly a drain,Republican,Strongly agree,Women have more opportunities than men,Donald Trump
7639,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
7640,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly agree,Men have more opportunities than women,Hillary Clinton
7641,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly a drain,Democrat,Agree,Men have more opportunities than women,Gary Johnson
7642,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Approve,Should be required to use the restrooms of the gender they were born into,Oppose,Treat both groups the same,No,Mostly a drain,Other,Agree,Women have more opportunities than men,Gary Johnson
7643,Expanded,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Don't know,Treat both groups the same,Yes,Neither,Independent,Strongly agree,Men have more opportunities than women,Hillary Clinton
7644,Expanded,Don't know,Don't know,Don't know,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Don't know,Treat both groups the same,Don't know,Mostly make a contribution,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
7645,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
7646,Kept the same,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Don't know,Democrat,Agree,Women have more opportunities than men,Gary Johnson
7647,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Don't know,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
7648,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor whites over blacks,No,Neither,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
7649,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,No,Mostly make a contribution,Republican,Disagree,Men have more opportunities than women,Hillary Clinton
7650,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Don't know,Treat both groups the same,Yes,Neither,Independent,Disagree,Men have more opportunities than women,Hillary Clinton
7651,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Don't know,Oppose,Favor blacks over whites,Yes,Don't know,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
7652,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Don't know,Don't know,Treat both groups the same,Yes,Mostly make a contribution,Independent,Disagree,Women have more opportunities than men,Hillary Clinton
7653,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Part of a broader pattern,Strongly Approve,Don't know,Oppose,Favor whites over blacks,Yes,Mostly make a contribution,Republican,Strongly agree,Men and women have equal opportunities,Jill Stein
7654,Repealed,Don't know,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Disapprove,Don't know,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
7655,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Don't know,Oppose,Treat both groups the same,Yes,Mostly a drain,Republican,Disagree,Women have more opportunities than men,Hillary Clinton
7656,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Don't know,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men and women have equal opportunities,Hillary Clinton
7657,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
7658,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Somewhat Disapprove,Don't know,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Agree,Women have more opportunities than men,Donald Trump
