,teapartsup_baseline,track_baseline,healthtaxch3_baseline,obamaapp_baseline,post_pid3_2012,envwarm_baseline,taxwealth_baseline,healthreformbill_baseline,presvote16post_2016
98,Strongly oppose,Not sure,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
99,Strongly oppose,Not sure,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Jill Stein
100,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
101,Strongly oppose,Off on the wrong track,Not sure,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
102,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Approve,Independent,Not sure,Favor,Not sure,Hillary Clinton
103,"Neither support, nor oppose",Off on the wrong track,,Strongly Disapprove,Independent,Definitely is happening,Favor,Kept the same,Donald Trump
104,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Definitely is happening,Not sure,Repealed,Evan McMullin
105,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
106,Strongly oppose,Not sure,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
107,Somewhat oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,
108,Strongly oppose,Not sure,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
109,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
110,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
111,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Not sure,Hillary Clinton
112,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Probably is happening,Not sure,Repealed,Hillary Clinton
113,"Neither support, nor oppose",Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
114,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Oppose,Repealed,Donald Trump
115,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
116,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Oppose,Repealed,Donald Trump
117,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is happening,Oppose,Repealed,Gary Johnson
118,Somewhat support,Off on the wrong track,Not sure,Strongly Disapprove,Independent,Definitely is not happening,Not sure,Repealed,Other
119,Strongly oppose,Not sure,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
120,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Gary Johnson
121,Not sure,Not sure,Pay less,Strongly Approve,Other,Definitely is happening,Favor,Expanded,Hillary Clinton
122,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
123,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
124,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
125,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
126,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
127,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
128,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Other,Probably is happening,Oppose,Repealed,Gary Johnson
129,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is not happening,Favor,Not sure,Hillary Clinton
130,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
131,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
132,Strongly oppose,Not sure,Not sure,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
133,Strongly oppose,Off on the wrong track,Pay less,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
134,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
135,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Oppose,Repealed,Donald Trump
136,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Oppose,Repealed,Donald Trump
137,Somewhat oppose,Not sure,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,
138,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is happening,Not sure,Repealed,
139,Somewhat oppose,Off on the wrong track,About the same,Somewhat Disapprove,Independent,Probably is happening,Favor,Not sure,Hillary Clinton
140,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
141,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Oppose,Repealed,Donald Trump
142,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
