,teapartsup_baseline,track_baseline,healthtaxch3_baseline,obamaapp_baseline,post_pid3_2012,envwarm_baseline,taxwealth_baseline,healthreformbill_baseline,presvote16post_2016
3270,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Definitely is happening,Favor,Not sure,
3271,Strongly oppose,Not sure,Not sure,Not Sure,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
3272,Somewhat oppose,Off on the wrong track,Not sure,Somewhat Disapprove,Democrat,Probably is happening,Not sure,Expanded,Hillary Clinton
3273,"Neither support, nor oppose",Off on the wrong track,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
3274,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Democrat,Probably is happening,Favor,Repealed,Gary Johnson
3275,Strongly oppose,Not sure,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3276,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Favor,Repealed,Donald Trump
3277,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3278,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
3279,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Oppose,Repealed,Gary Johnson
3280,Somewhat support,Off on the wrong track,Not sure,Strongly Disapprove,Republican,Not sure,Not sure,Repealed,
3281,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3282,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Favor,Repealed,Donald Trump
3283,Strongly oppose,Not sure,Not sure,Strongly Approve,Democrat,Probably is happening,Favor,Not sure,
3284,Strongly oppose,Off on the wrong track,About the same,Somewhat Disapprove,Independent,Definitely is happening,Favor,Not sure,Donald Trump
3285,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
3286,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Not sure,Repealed,Donald Trump
3287,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Oppose,Repealed,Donald Trump
3288,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3289,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3290,Strongly oppose,Off on the wrong track,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3291,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
3292,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Repealed,Other
3293,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3294,Strongly oppose,Off on the wrong track,Not sure,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Jill Stein
3295,"Neither support, nor oppose",Not sure,Not sure,Not Sure,Independent,Probably is happening,Not sure,Not sure,Donald Trump
3296,"Neither support, nor oppose",Off on the wrong track,About the same,Strongly Disapprove,Republican,Definitely is happening,Favor,Repealed,Donald Trump
3297,"Neither support, nor oppose",Generally headed in the right direction,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3298,Strongly oppose,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
3299,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Favor,Repealed,Donald Trump
3300,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
3301,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Oppose,Repealed,Donald Trump
3302,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
3303,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3304,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3305,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3306,Strongly oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3307,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is not happening,Not sure,Expanded,Donald Trump
3308,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3309,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
3310,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
3311,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
3312,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Gary Johnson
3313,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
3314,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Gary Johnson
3315,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3316,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
3317,Strongly oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
3318,Somewhat oppose,Not sure,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Not sure,Hillary Clinton
3319,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
3320,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
3321,Strongly oppose,Not sure,Not sure,Strongly Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
3322,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,,Favor,Expanded,Hillary Clinton
3323,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Favor,Repealed,
3324,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
3325,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3326,Strongly oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3327,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
3328,Somewhat oppose,Generally headed in the right direction,Pay more,Somewhat Disapprove,Republican,Probably is happening,Favor,Kept the same,Hillary Clinton
3329,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Favor,Not sure,Donald Trump
3330,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Not sure,Repealed,Donald Trump
3331,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
3332,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3333,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
3334,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3335,"Neither support, nor oppose",Not sure,About the same,Somewhat Disapprove,Not sure,Probably is not happening,Not sure,Repealed,
3336,Not sure,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Probably is happening,Oppose,Kept the same,Hillary Clinton
3337,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Favor,Repealed,Donald Trump
3338,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
3339,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Not sure,Repealed,Donald Trump
3340,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
3341,"Neither support, nor oppose",Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3342,Not sure,Generally headed in the right direction,Not sure,Somewhat Approve,Democrat,Probably is happening,Favor,,Hillary Clinton
3343,Strongly oppose,Off on the wrong track,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
3344,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3345,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Probably is not happening,Favor,Expanded,Hillary Clinton
3346,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
3347,Somewhat support,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Repealed,Hillary Clinton
3348,Somewhat oppose,Off on the wrong track,Not sure,Strongly Approve,Republican,Definitely is happening,Favor,Not sure,Hillary Clinton
3349,"Neither support, nor oppose",Not sure,Pay more,Somewhat Disapprove,Democrat,Probably is happening,Oppose,Repealed,Donald Trump
3350,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3351,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3352,Not sure,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
3353,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Disapprove,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3354,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Definitely is not happening,Favor,Not sure,Hillary Clinton
3355,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
3356,Strongly oppose,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Favor,Expanded,Donald Trump
3357,Not sure,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3358,"Neither support, nor oppose",Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3359,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3360,Somewhat oppose,Not sure,About the same,Not Sure,Independent,Probably is not happening,Not sure,Kept the same,Hillary Clinton
3361,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Not sure,Donald Trump
3362,Somewhat support,Off on the wrong track,Not sure,Somewhat Disapprove,Republican,Probably is happening,Not sure,Not sure,Donald Trump
3363,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Repealed,Hillary Clinton
3364,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3365,Strongly support,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Definitely is happening,Oppose,Repealed,Jill Stein
3366,Strongly support,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Oppose,Kept the same,Hillary Clinton
3367,Somewhat support,Not sure,Not sure,Somewhat Disapprove,Independent,Probably is not happening,Favor,Not sure,Other
3368,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
3369,"Neither support, nor oppose",Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3370,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
3371,Somewhat oppose,Not sure,Pay more,Somewhat Disapprove,Republican,Probably is happening,Favor,Not sure,Other
3372,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Not sure,Repealed,Donald Trump
3373,Somewhat oppose,Generally headed in the right direction,Pay more,Somewhat Disapprove,Independent,Definitely is happening,Oppose,Expanded,Hillary Clinton
3374,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
3375,Somewhat oppose,Not sure,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3376,"Neither support, nor oppose",Not sure,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3377,Somewhat oppose,Off on the wrong track,Not sure,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
3378,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Definitely is happening,Not sure,Not sure,Hillary Clinton
3379,Somewhat support,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,
3380,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Not sure,Repealed,Donald Trump
3381,Somewhat oppose,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Favor,Repealed,Hillary Clinton
3382,"Neither support, nor oppose",Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
3383,Somewhat oppose,Off on the wrong track,Pay more,Strongly Disapprove,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
3384,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is not happening,Favor,Expanded,Donald Trump
3385,Not sure,Not sure,Not sure,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Donald Trump
3386,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
3387,Not sure,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Not sure,Favor,Not sure,
3388,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Oppose,Expanded,
3389,"Neither support, nor oppose",Off on the wrong track,Not sure,Not Sure,Democrat,Not sure,Favor,Expanded,Hillary Clinton
3390,Somewhat oppose,Off on the wrong track,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3391,Not sure,Not sure,Not sure,Strongly Disapprove,Republican,Not sure,Not sure,Not sure,Donald Trump
3392,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Repealed,Hillary Clinton
3393,Strongly oppose,Off on the wrong track,Not sure,Not Sure,Democrat,Definitely is not happening,Favor,Kept the same,Gary Johnson
3394,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Other
3395,Somewhat oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is not happening,Favor,Not sure,Hillary Clinton
3396,Not sure,Generally headed in the right direction,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Donald Trump
3397,Strongly oppose,Off on the wrong track,Not sure,Not Sure,Not sure,Definitely is happening,Favor,Not sure,Hillary Clinton
3398,"Neither support, nor oppose",Not sure,About the same,Somewhat Disapprove,Republican,Probably is not happening,Not sure,Kept the same,Donald Trump
3399,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Favor,Repealed,Donald Trump
3400,Not sure,Off on the wrong track,Pay more,Strongly Disapprove,Not sure,Probably is happening,Oppose,Repealed,Donald Trump
3401,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
3402,"Neither support, nor oppose",Not sure,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Repealed,Donald Trump
3403,Not sure,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Probably is happening,Favor,Not sure,
3404,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
3405,Not sure,Off on the wrong track,Not sure,Not Sure,Republican,Definitely is happening,Favor,Not sure,Other
3406,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
3407,Strongly oppose,Off on the wrong track,Pay less,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3408,Somewhat support,Off on the wrong track,About the same,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
3409,"Neither support, nor oppose",Not sure,Not sure,Not Sure,Republican,Definitely is happening,Favor,Not sure,Hillary Clinton
3410,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
3411,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
3412,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Not sure,Repealed,
3413,"Neither support, nor oppose",Not sure,About the same,Strongly Disapprove,Independent,Definitely is not happening,Favor,Not sure,Hillary Clinton
3414,Somewhat oppose,Off on the wrong track,Not sure,Somewhat Approve,Republican,Definitely is happening,Favor,Kept the same,
3415,Somewhat support,Off on the wrong track,Not sure,Strongly Disapprove,Republican,Probably is not happening,Not sure,Repealed,Donald Trump
3416,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
3417,Strongly oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Independent,Not sure,Favor,Not sure,Hillary Clinton
3418,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3419,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3420,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Probably is happening,Oppose,Kept the same,Hillary Clinton
3421,Somewhat oppose,Off on the wrong track,Not sure,Somewhat Disapprove,Independent,Probably is not happening,Oppose,Not sure,Gary Johnson
3422,"Neither support, nor oppose",Not sure,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3423,Somewhat support,Off on the wrong track,About the same,Somewhat Approve,Republican,Definitely is happening,Not sure,Expanded,Gary Johnson
3424,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3425,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3426,Strongly oppose,Generally headed in the right direction,Pay more,Somewhat Disapprove,Republican,Probably is happening,Favor,Repealed,
3427,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,
3428,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
3429,"Neither support, nor oppose",Not sure,Pay more,Somewhat Approve,Independent,Probably is happening,Favor,Not sure,Hillary Clinton
3430,Strongly oppose,Not sure,Not sure,Strongly Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
3431,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3432,Strongly oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Republican,Definitely is happening,Favor,Expanded,Other
3433,"Neither support, nor oppose",Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Oppose,Kept the same,Donald Trump
3434,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
3435,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
3436,"Neither support, nor oppose",Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
3437,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3438,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Favor,Repealed,Donald Trump
3439,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
3440,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Other
3441,Somewhat oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Probably is happening,Favor,Kept the same,Hillary Clinton
3442,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
3443,Somewhat support,Generally headed in the right direction,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
3444,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
3445,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3446,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3447,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Favor,Repealed,Donald Trump
3448,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3449,"Neither support, nor oppose",Not sure,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
3450,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3451,Strongly support,Off on the wrong track,Not sure,Strongly Disapprove,Republican,,Oppose,Repealed,Donald Trump
3452,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3453,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Oppose,Repealed,Donald Trump
3454,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
3455,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3456,Not sure,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Definitely is happening,Favor,Repealed,Donald Trump
3457,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is happening,Favor,Repealed,Donald Trump
3458,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Definitely is happening,Not sure,Expanded,Hillary Clinton
3459,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
3460,Not sure,Off on the wrong track,Pay more,Strongly Disapprove,Not sure,Probably is not happening,Favor,Repealed,Gary Johnson
3461,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is not happening,Not sure,Repealed,Donald Trump
3462,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Oppose,Repealed,Donald Trump
3463,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3464,"Neither support, nor oppose",Not sure,Pay more,Somewhat Disapprove,Independent,Probably is not happening,Favor,Not sure,Donald Trump
3465,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
3466,Strongly oppose,Not sure,Not sure,Somewhat Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
3467,Strongly oppose,Off on the wrong track,Not sure,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3468,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Favor,Repealed,Donald Trump
3469,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Not sure,Favor,Expanded,Other
3470,Not sure,Not sure,Not sure,Not Sure,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
3471,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is not happening,Favor,Repealed,Donald Trump
3472,Strongly oppose,Off on the wrong track,About the same,Somewhat Disapprove,Independent,Probably is happening,Favor,Kept the same,Hillary Clinton
3473,Strongly oppose,Not sure,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
3474,Somewhat oppose,Not sure,About the same,Somewhat Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
3475,"Neither support, nor oppose",Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
3476,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
3477,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3478,Not sure,Off on the wrong track,Not sure,Somewhat Disapprove,Independent,Probably is happening,Favor,Expanded,Donald Trump
3479,,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3480,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Probably is happening,Favor,Expanded,Donald Trump
3481,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is not happening,Favor,Expanded,Hillary Clinton
3482,"Neither support, nor oppose",Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3483,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Not sure,Favor,Kept the same,Other
3484,Somewhat oppose,Off on the wrong track,Not sure,Somewhat Approve,Independent,Probably is happening,Favor,Not sure,Hillary Clinton
3485,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Independent,Probably is happening,Favor,Kept the same,Hillary Clinton
3486,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3487,Strongly oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Donald Trump
3488,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Jill Stein
3489,Not sure,Generally headed in the right direction,Not sure,Somewhat Disapprove,Republican,Definitely is happening,Favor,Repealed,Hillary Clinton
