obamaapp_2016,healthreformbill_2016,univhealthcov_2016,ft_blm_2016,policies_favor_2016,imiss_l_2016,envwarm_2016,immi_muslim_2016,pid3_2016,pp_primary16_2016,ideo5_2016,govt_reg_2016,immi_contribution_2016,wealth_2016,gvmt_involment_2016,ft_fem_2016,police_threat_2016,reverse_discrimination_2016,RIGGED_SYSTEM_4_2016,affirmact_gen_2016,race_slave_2016,race_overcome_2016,view_transgender_2016,RIGGED_SYSTEM_3_2016,ft_unions_2016,presvote16post_2016
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,5.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,11.0,Donald Trump
Strongly Disapprove,Repealed,No,9.0,Favor blacks over whites,Somewhat important,Probably is happening,Strongly favor,Republican,"No, not in either",Conservative,Too much,Neither,Don't know,People would be better able to handle today's problems within a free market with less government involvement,9.0,Part of a broader pattern,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,13.0,Donald Trump
Somewhat Disapprove,Expanded,Yes,98.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,74.0,Part of a broader pattern,Strongly Disagree,Strongly agree,Favor,Strongly Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,99.0,Hillary Clinton
Strongly Approve,Expanded,No,50.0,Treat both groups the same,Somewhat important,Definitely is happening,Somewhat favor,Democrat,"No, not in either",Moderate,Too little,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,71.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Strongly Disagree,Should be required to use the restrooms of the gender they were born into,Strongly agree,91.0,Hillary Clinton
Strongly Disapprove,Don't know,No,41.045111462173075,Favor blacks over whites,Not very important,Probably is happening,Somewhat favor,Republican,In the Republican primary,Moderate,Too much,Mostly a drain,Should be more evenly distributed,Don't know,8.0,Don't know,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,45.0,Donald Trump
Strongly Disapprove,Repealed,No,49.0,Don't know,Very important,Definitely is happening,Strongly favor,Republican,"No, not in either",Very conservative,About the right amount,Mostly a drain,Distribution is fair,We need a strong government to handle today's complex economic problems,52.993479752916954,Isolated incidents,Agree,Agree,Don't know,Strongly Disagree,Strongly Agree,Don't know,Strongly agree,50.0,Donald Trump
Strongly Approve,Expanded,Don't know,88.0,Treat both groups the same,Very important,Definitely is happening,Don't know,Democrat,In the Democratic primary,Moderate,Don't know,Don't know,Don't know,Don't know,76.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Agree,Disagree,Should be required to use the restrooms of the gender they were born into,Disagree,75.0,Hillary Clinton
Strongly Disapprove,Repealed,No,10.0,Favor blacks over whites,Unimportant,Probably is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too little,Mostly a drain,Don't know,We need a strong government to handle today's complex economic problems,72.0,Isolated incidents,Agree,Strongly agree,Favor,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,77.0,Donald Trump
Somewhat Approve,Expanded,Yes,81.0,Don't know,Very important,Probably is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,About the right amount,Neither,Should be more evenly distributed,Don't know,81.0,Part of a broader pattern,Don't Know,Agree,Favor,Agree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,70.0,Hillary Clinton
Strongly Disapprove,Repealed,Don't know,2.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,We need a strong government to handle today's complex economic problems,29.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,30.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,39.0,Isolated incidents,Agree,Strongly agree,Favor,Agree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,22.0,Donald Trump
Strongly Disapprove,Repealed,No,5.0,Favor blacks over whites,Not very important,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,20.0,Isolated incidents,Agree,Strongly agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,25.0,Donald Trump
Strongly Disapprove,Repealed,No,31.0,Favor blacks over whites,Not very important,Definitely is happening,Strongly oppose,Republican,In the Republican primary,Conservative,Too much,Mostly make a contribution,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,41.0,Isolated incidents,Disagree,Strongly agree,Oppose,Agree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,31.0,Donald Trump
Strongly Approve,Expanded,No,41.045111462173075,Treat both groups the same,Very important,Definitely is happening,Somewhat favor,Democrat,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,99.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,79.0,Hillary Clinton
Strongly Disapprove,Repealed,No,2.0,Don't know,Unimportant,Definitely is not happening,Strongly favor,Other,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,1.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,10.0,Donald Trump
Strongly Disapprove,Repealed,Yes,12.0,Favor blacks over whites,Somewhat important,Probably is happening,Strongly favor,Independent,"No, not in either",Conservative,Too much,Mostly make a contribution,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,80.0,Isolated incidents,Agree,Strongly agree,Favor,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,30.0,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Treat both groups the same,Not very important,Probably is happening,Strongly favor,Independent,In the Democratic primary,Conservative,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,2.0,Isolated incidents,Agree,Strongly agree,Oppose,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,11.0,Donald Trump
Somewhat Approve,Expanded,Yes,30.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Independent,In the Democratic primary,Moderate,Don't know,Neither,Should be more evenly distributed,Don't know,60.0,Isolated incidents,Agree,Agree,Oppose,Don't Know,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,35.0,Hillary Clinton
Strongly Approve,Expanded,Yes,91.0,Treat both groups the same,Very important,Definitely is happening,Don't know,Democrat,In the Democratic primary,Moderate,About the right amount,Neither,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,68.0,Part of a broader pattern,Disagree,Agree,Favor,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,72.0,Hillary Clinton
Strongly Disapprove,Repealed,No,19.0,Favor blacks over whites,Not very important,Probably is happening,Somewhat favor,Republican,"Not sure, don't recall",Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,50.0,Isolated incidents,Agree,Strongly agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,19.0,Donald Trump
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,81.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Disagree,Should be required to use the restrooms of the gender they were born into,Strongly agree,100.0,Hillary Clinton
Somewhat Approve,Expanded,Yes,49.0,Treat both groups the same,Somewhat important,Definitely is happening,Somewhat oppose,Independent,In the Democratic primary,Moderate,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,51.0,Part of a broader pattern,Disagree,Agree,Don't know,Agree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,50.0,Hillary Clinton
Strongly Disapprove,Repealed,No,13.0,Favor blacks over whites,Somewhat important,Probably is happening,Strongly favor,Republican,"No, not in either",Moderate,About the right amount,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,47.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Don't know,Strongly agree,89.0,Donald Trump
Somewhat Approve,Expanded,Yes,31.0,Treat both groups the same,Very important,Definitely is happening,Don't know,Democrat,"No, not in either",Not sure,Too much,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,49.0,Isolated incidents,Agree,Disagree,Don't know,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,32.0,Hillary Clinton
Strongly Disapprove,Repealed,No,10.0,Favor blacks over whites,Not very important,Probably is happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Don't know,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,41.0,Isolated incidents,Disagree,Agree,Don't know,Don't Know,Disagree,Don't know,Disagree,41.0,Donald Trump
Somewhat Approve,Repealed,No,65.0,Treat both groups the same,Not very important,Definitely is happening,Strongly oppose,Republican,In the Republican primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,66.0,Part of a broader pattern,Strongly Disagree,Agree,Oppose,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,54.0,Hillary Clinton
Somewhat Disapprove,Don't know,No,26.0,Treat both groups the same,Not very important,Probably is not happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,27.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Disagree,Disagree,Don't know,Agree,40.0,Donald Trump
Strongly Disapprove,Repealed,No,6.0,Favor blacks over whites,Not very important,Probably is not happening,Strongly favor,Democrat,"No, not in either",Very conservative,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,9.0,Isolated incidents,Strongly Agree,Agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,13.0,Donald Trump
Strongly Approve,Expanded,Yes,70.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,"No, not in either",Moderate,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,67.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,84.0,Hillary Clinton
Somewhat Approve,Don't know,Yes,49.0,Treat both groups the same,Somewhat important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,About the right amount,Mostly make a contribution,Should be more evenly distributed,Don't know,50.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Disagree,Disagree,Should be required to use the restrooms of the gender they were born into,Strongly agree,51.91723549488054,Hillary Clinton
Strongly Disapprove,Repealed,No,11.0,Favor blacks over whites,Not very important,Probably is happening,Somewhat favor,Republican,"No, not in either",Conservative,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,60.0,Isolated incidents,Agree,Strongly agree,Don't know,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,71.0,Donald Trump
Strongly Disapprove,Repealed,No,30.0,Favor whites over blacks,Unimportant,Probably is not happening,Somewhat favor,Independent,In the Republican primary,Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,30.0,Part of a broader pattern,Agree,Strongly agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,44.0,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Not very important,Probably is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,We need a strong government to handle today's complex economic problems,100.0,Isolated incidents,Agree,Agree,Don't know,Agree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,0.0,Donald Trump
Strongly Approve,Expanded,Yes,4.0,Treat both groups the same,Somewhat important,Definitely is happening,Strongly favor,Not sure,In the Republican primary,Moderate,Too much,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,13.0,Isolated incidents,Disagree,Agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,10.0,Hillary Clinton
Somewhat Approve,Expanded,No,47.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Too much,Neither,Distribution is fair,Don't know,99.0,Part of a broader pattern,Strongly Disagree,Strongly disagree,Favor,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,95.0,Hillary Clinton
Somewhat Approve,Kept the same,Yes,31.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,51.0,Isolated incidents,Disagree,Disagree,Oppose,Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,3.0,Hillary Clinton
Strongly Disapprove,Repealed,No,8.0,Favor blacks over whites,Not very important,Probably is not happening,Don't know,Republican,In the Republican primary,Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,97.0,Isolated incidents,Disagree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Don't know,Agree,51.0,Donald Trump
Strongly Approve,Expanded,Yes,60.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,50.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,75.0,Hillary Clinton
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Not very important,Definitely is not happening,Don't know,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,51.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,12.0,Donald Trump
Strongly Approve,Expanded,Yes,65.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Independent,In the Democratic primary,Liberal,About the right amount,Neither,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,89.0,Isolated incidents,Disagree,Disagree,Don't know,Agree,Disagree,Don't know,Agree,76.0,Hillary Clinton
Strongly Approve,Expanded,Yes,99.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Very liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,99.0,Part of a broader pattern,Strongly Disagree,Strongly disagree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,90.0,Hillary Clinton
Strongly Approve,Don't know,Don't know,48.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Independent,"No, not in either",Moderate,Don't know,Don't know,Should be more evenly distributed,Don't know,77.0,Isolated incidents,Agree,Disagree,Favor,Disagree,Agree,Don't know,Agree,60.0,Hillary Clinton
Somewhat Approve,Expanded,Yes,41.0,Treat both groups the same,Very important,Probably is happening,Strongly oppose,Independent,In the Democratic primary,Moderate,Too much,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,49.0,Part of a broader pattern,Disagree,Disagree,Favor,Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,50.0,Hillary Clinton
Strongly Approve,Expanded,Yes,99.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Very liberal,Too much,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,80.0,Hillary Clinton
Strongly Disapprove,Repealed,No,6.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,2.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,2.0,Donald Trump
Somewhat Approve,Repealed,No,27.0,Treat both groups the same,Somewhat important,Probably is happening,Don't know,Independent,"No, not in either",Moderate,About the right amount,Neither,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,80.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,40.0,Donald Trump
Strongly Approve,Expanded,Yes,71.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,"No, not in either",Liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,94.0,Part of a broader pattern,Strongly Disagree,Strongly disagree,Favor,Strongly Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,99.0,Hillary Clinton
Strongly Disapprove,Repealed,Yes,3.0,Don't know,Somewhat important,Don't know,Strongly favor,Not sure,In the Democratic primary,Very conservative,Don't know,Don't know,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,52.993479752916954,Part of a broader pattern,Strongly Disagree,Strongly agree,Don't know,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,26.0,Donald Trump
Somewhat Disapprove,Repealed,No,41.045111462173075,Favor blacks over whites,Unimportant,Probably is happening,Strongly favor,Democrat,In the Democratic primary,Moderate,About the right amount,Mostly a drain,Distribution is fair,We need a strong government to handle today's complex economic problems,20.0,Isolated incidents,Strongly Agree,Disagree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,99.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Probably is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,6.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,9.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Not very important,Probably is not happening,Strongly favor,Independent,"No, not in either",Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,38.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,6.0,Donald Trump
Strongly Approve,Kept the same,Yes,52.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,"Not sure, don't recall",Moderate,About the right amount,Neither,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Isolated incidents,Disagree,Disagree,Don't know,Don't Know,Don't Know,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,91.0,Hillary Clinton
Strongly Disapprove,Repealed,No,2.0,Treat both groups the same,Unimportant,Definitely is not happening,Strongly favor,Independent,In the Republican primary,Very conservative,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,47.0,Isolated incidents,Agree,Strongly agree,Don't know,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,9.0,Donald Trump
Strongly Approve,Expanded,Yes,41.045111462173075,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Don't know,We need a strong government to handle today's complex economic problems,91.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,100.0,Hillary Clinton
Strongly Disapprove,Repealed,No,11.0,Favor blacks over whites,Unimportant,Probably is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,We need a strong government to handle today's complex economic problems,2.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,50.0,Donald Trump
Somewhat Approve,Expanded,Yes,2.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,70.0,Part of a broader pattern,Disagree,Agree,Don't know,Strongly Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,50.0,Hillary Clinton
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Somewhat favor,Independent,"No, not in either",Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,79.0,Part of a broader pattern,Strongly Disagree,Strongly disagree,Favor,Strongly Agree,Strongly Disagree,Should be required to use the restrooms of the gender they were born into,Strongly agree,69.0,Hillary Clinton
Strongly Disapprove,Repealed,No,26.0,Favor blacks over whites,Somewhat important,Probably is not happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,41.0,Isolated incidents,Disagree,Agree,Oppose,Disagree,Agree,Don't know,Strongly disagree,76.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Independent,"Not sure, don't recall",Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,0.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,0.0,Donald Trump
Somewhat Disapprove,Repealed,No,50.0,Don't know,Somewhat important,Probably is happening,Somewhat favor,Independent,In the Republican primary,Conservative,Too much,Don't know,Don't know,People would be better able to handle today's problems within a free market with less government involvement,31.0,Don't know,Don't Know,Disagree,Don't know,Strongly Disagree,Strongly Agree,Don't know,Disagree,61.0,Donald Trump
Strongly Approve,Expanded,Yes,67.0,Treat both groups the same,Somewhat important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,79.0,Isolated incidents,Agree,Disagree,Favor,Agree,Agree,Don't know,Agree,94.0,Hillary Clinton
Strongly Approve,Expanded,Yes,80.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,26.0,Part of a broader pattern,Disagree,Disagree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,16.0,Hillary Clinton
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Not very important,Probably is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Don't know,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,52.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,5.0,Donald Trump
Strongly Disapprove,Repealed,No,91.0,Favor blacks over whites,Somewhat important,Definitely is happening,Strongly favor,Republican,In the Republican primary,Moderate,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,97.0,Isolated incidents,Agree,Disagree,Oppose,Agree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,50.0,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Unimportant,Probably is not happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,2.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,18.0,Donald Trump
Strongly Approve,Expanded,Yes,97.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,95.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,99.0,Hillary Clinton
Strongly Disapprove,Repealed,No,5.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Independent,"No, not in either",Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,25.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,27.0,Donald Trump
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Strongly Agree,Don't Know,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,100.0,Hillary Clinton
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,100.0,Hillary Clinton
Strongly Approve,Expanded,Yes,60.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,"No, not in either",Very liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,45.0,Part of a broader pattern,Strongly Disagree,Disagree,Oppose,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,51.0,Hillary Clinton
Somewhat Approve,Expanded,Yes,96.0,Don't know,Very important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,Don't know,90.0,Part of a broader pattern,Strongly Disagree,Strongly agree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,90.0,Hillary Clinton
Strongly Disapprove,Repealed,No,61.0,Treat both groups the same,Not very important,Probably is happening,Don't know,Republican,In the Republican primary,Conservative,About the right amount,Mostly make a contribution,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,43.0,Isolated incidents,Disagree,Agree,Oppose,Disagree,Agree,Don't know,Disagree,46.0,Donald Trump
