obamaapp_2016,healthreformbill_2016,univhealthcov_2016,ft_blm_2016,policies_favor_2016,imiss_l_2016,envwarm_2016,immi_muslim_2016,pid3_2016,pp_primary16_2016,ideo5_2016,govt_reg_2016,immi_contribution_2016,wealth_2016,gvmt_involment_2016,ft_fem_2016,police_threat_2016,reverse_discrimination_2016,RIGGED_SYSTEM_4_2016,affirmact_gen_2016,race_slave_2016,race_overcome_2016,view_transgender_2016,RIGGED_SYSTEM_3_2016,ft_unions_2016,presvote16post_2016
Strongly Disapprove,Repealed,No,10.0,Favor blacks over whites,Somewhat important,Probably is not happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,40.0,Isolated incidents,Agree,Strongly agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,21.0,Donald Trump
Strongly Disapprove,Repealed,No,2.0,Treat both groups the same,Not very important,Probably is happening,Strongly favor,Republican,In the Republican primary,Moderate,Too much,Don't know,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,12.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Don't know,Disagree,15.0,Donald Trump
Somewhat Approve,Expanded,Yes,63.0,Treat both groups the same,Somewhat important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,68.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,68.0,Hillary Clinton
Strongly Approve,Expanded,Yes,90.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,96.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,91.0,Hillary Clinton
Somewhat Approve,Expanded,No,51.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Moderate,Too much,Mostly make a contribution,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,52.0,Part of a broader pattern,Agree,Agree,Oppose,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,11.0,Hillary Clinton
Strongly Disapprove,Repealed,No,2.0,Don't know,Unimportant,Probably is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,10.0,Isolated incidents,Agree,Agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,2.0,Donald Trump
Strongly Disapprove,Repealed,No,20.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,20.0,Isolated incidents,Agree,Agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,6.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Not very important,Probably is not happening,Strongly favor,Independent,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,1.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,0.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,0.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,0.0,Donald Trump
Strongly Approve,Expanded,Yes,50.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,81.0,Part of a broader pattern,Strongly Disagree,Strongly agree,Favor,Strongly Agree,Strongly Disagree,Don't know,Agree,85.0,Hillary Clinton
